,Unnamed: 0,Unnamed: 0.1,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id,year,dk_points_allowed
27,27,27,Home,W 139-91 ,240,56,84,0.667,41,64,0.641,15,20,0.75,12,16,0.75,139,29,72,0.403,26,58,0.448,3,14,0.214,30,41,0.732,91,2014-11-14,NOP,MIN,2015,92.5
28,28,28,@,W 139-136 (2OT),290,50,110,0.455,42,83,0.506,8,27,0.296,31,38,0.816,139,47,106,0.443,35,73,0.479,12,33,0.364,30,38,0.789,136,2015-10-30,OKC,ORL,2016,142.0
29,29,29,Home,W 139-134 (OT),265,47,95,0.495,34,62,0.548,13,33,0.394,32,37,0.865,139,44,85,0.518,32,55,0.582,12,30,0.4,34,50,0.68,134,2016-02-10,BOS,LAC,2016,140.0
30,30,30,Home,W 139-105 ,240,56,91,0.615,42,64,0.656,14,27,0.519,13,19,0.684,139,37,79,0.468,32,65,0.492,5,14,0.357,26,39,0.667,105,2016-03-29,ORL,BRK,2016,107.5
31,31,31,@,L 139-142 (4OT),340,51,128,0.398,33,77,0.429,18,51,0.353,19,23,0.826,139,52,119,0.437,42,88,0.477,10,31,0.323,28,40,0.7,142,2017-01-29,NYK,ATL,2017,147.0
32,32,32,@,W 138-113 ,240,52,95,0.547,40,67,0.597,12,28,0.429,22,31,0.71,138,39,84,0.464,33,65,0.508,6,19,0.316,29,35,0.829,113,2015-04-15,OKC,MIN,2015,116.0
33,33,33,Home,W 138-109 ,240,49,78,0.628,35,57,0.614,14,21,0.667,26,34,0.765,138,41,91,0.451,30,59,0.508,11,32,0.344,16,21,0.762,109,2016-12-03,GSW,PHO,2017,114.5
34,34,34,Home,W 137-97 ,240,51,86,0.593,36,58,0.621,15,28,0.536,20,24,0.833,137,32,84,0.381,24,64,0.375,8,20,0.4,25,32,0.781,97,2012-02-21,POR,SAS,2012,101.0
35,35,35,Home,W 137-118 ,240,49,94,0.521,34,56,0.607,15,38,0.395,24,28,0.857,137,41,82,0.5,34,57,0.596,7,25,0.28,29,43,0.674,118,2013-11-04,LAC,HOU,2014,121.5
36,36,36,@,W 137-115 ,240,53,99,0.535,41,70,0.586,12,29,0.414,19,24,0.792,137,42,89,0.472,39,68,0.574,3,21,0.143,28,36,0.778,115,2014-01-05,DEN,LAL,2014,116.5
37,37,37,Home,W 137-107 ,240,52,92,0.565,37,65,0.569,15,27,0.556,18,25,0.72,137,35,74,0.473,33,65,0.508,2,9,0.222,35,45,0.778,107,2014-04-02,DEN,NOP,2014,108.0
38,38,38,Home,W 137-134 (OT),265,41,99,0.414,30,64,0.469,11,35,0.314,44,49,0.898,137,46,90,0.511,33,63,0.524,13,27,0.481,29,35,0.829,134,2014-12-31,OKC,PHO,2015,140.5
39,39,39,Home,W 137-105 ,240,52,97,0.536,35,67,0.522,17,30,0.567,16,23,0.696,137,36,92,0.391,24,58,0.414,12,34,0.353,21,28,0.75,105,2016-02-19,POR,GSW,2016,111.0
40,40,40,Home,W 137-125 ,240,48,90,0.533,27,54,0.5,21,36,0.583,20,27,0.741,137,47,90,0.522,34,61,0.557,13,29,0.448,18,19,0.947,125,2016-11-23,CLE,POR,2017,131.5
41,41,41,@,W 137-112 ,240,46,92,0.5,25,48,0.521,21,44,0.477,24,32,0.75,137,41,93,0.441,26,49,0.531,15,44,0.341,15,19,0.789,112,2017-01-15,HOU,BRK,2017,119.5
42,42,42,@,W 137-112 ,240,52,82,0.634,45,65,0.692,7,17,0.412,26,35,0.743,137,38,91,0.418,27,63,0.429,11,28,0.393,25,30,0.833,112,2017-02-04,MIL,PHO,2017,117.5
43,43,43,Home,W 137-101 ,240,49,88,0.557,39,64,0.609,10,24,0.417,29,34,0.853,137,35,93,0.376,26,67,0.388,9,26,0.346,22,28,0.786,101,2017-02-15,PHO,LAL,2017,105.5
44,44,44,Home,W 136-103 ,240,46,80,0.575,32,46,0.696,14,34,0.412,30,40,0.75,136,38,80,0.475,26,53,0.491,12,27,0.444,15,24,0.625,103,2013-03-03,HOU,DAL,2013,109.0
45,45,45,@,W 136-106 ,240,53,86,0.616,40,65,0.615,13,21,0.619,17,21,0.81,136,44,84,0.524,38,65,0.585,6,19,0.316,12,15,0.8,106,2013-03-08,POR,SAS,2013,109.0
